;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1
2.5;1.76;2.32;2.89;3.45;4.02;4.58;5.14;5.69
4;1.11;1.47;1.82;2.18;2.52;2.87;3.23;3.56
6;0.754;0.988;1.22;1.46;1.69;1.92;2.15;2.37
10;0.469;0.61;0.748;0.887;1.03;1.17;1.29;1.42
16;0.307;0.394;0.48;0.567;0.642;0.735;0.817;0.888
25;0.211;0.266;0.321;0.375;0.428;0.48;0.53;0.569
35;0.16;0.2;0.238;0.276;0.313;0.349;0.384;0.407
50;0.122;0.149;0.176;0.202;0.227;0.251;0.273;0.284
70;0.0965;0.116;0.134;0.152;0.169;0.185;0.2;0.203
95;0.08;0.0934;0.106;0.119;0.13;0.141;0.151;0.15
120;0.07;0.0806;0.0906;0.1;0.109;0.117;0.123;0.119
150;0.0628;0.071;0.0787;0.0855;0.0915;0.097;0.1;0.0945
185;0.0547;0.0633;0.0692;0.0746;0.0792;0.083;0.0847;0.0769
240;0.051;0.0555;0.0601;0.0637;0.0664;0.0683;0.0687;0.0592
